shortcode;id;text;created_at
CSZUfvmtBxG;17884885736398848;Hey I was wondering if you wanna participate in an international collaboration all for free on climate change topic.;1628624844
CSZUfvmtBxG;17914087798926280;🙌🙌🙌;1628627694
CSZUfvmtBxG;18163839505091450;🙌🙌🙌💚;1628628073
CSZUfvmtBxG;18101754262253073;Our Lovely Earth Angel & Powerful Messenger of Truth @gretathunberg 🙏🏼✨🌏🌈🌠💚;1628628717
CSZUfvmtBxG;17875791194520242;Love it!❤️❤️❤️❤️;1628629038
CSZUfvmtBxG;17893426886328358;Best cover 💚🤎💚;1628630734
CSZUfvmtBxG;18240916663036393;@katielderton;1628632473
CSZUfvmtBxG;17927152468728384;@just._freddie whatever it takes to make someone listen is good enough for me;1628633207
CSZUfvmtBxG;17907130577047288;@just._freddie wtf is that useless hate. She is from Scandinavia, and make her one country then the EU shift course on climate change, aren’t those sufficient credentials?;1628642739
CSZUfvmtBxG;17888406620478984;I’m glad she’s been using her voice🔥👏🙌…we need more people to fight for Mother Earth’s safety over humanity’s myopic greed, selfishness et al. Two generations more and that may be it.;1628643450
CSZUfvmtBxG;18015127327323482;@feresmont 👏👏👏;1628643500
CSZUfvmtBxG;18177668290192651;Post up on our page about actions to stop line 3 and protect Indigenous treaty rights!! Like, share, send, AMPLIFY 💚✊🏾;1628644802
CSZUfvmtBxG;17893457213182210;@feresmont it’s still climate change publicity though, and raised awareness often predicts behaviour change;1628668472
CSZUfvmtBxG;17874250208487334;@just._freddie people might listen to you if you didn’t have an anime profile pic 😹😹;1628668531
CSZUfvmtBxG;17912768029938721;@la.nce2127 her life is contributing to curbing climate change in so many ways… what have you done for Earth lately?;1628668767
CSZUfvmtBxG;17865474650519550;i don't like it when rich white people tell us to stop contribute fast fashion lol;1628670202
CSZUfvmtBxG;17875970498519047;SOS ,Algeria is on fire;1628677524
CSZUfvmtBxG;18157170112165045;SOS ,Algeria is on fire;1628677526
CSZUfvmtBxG;17896247477221662;@just._freddie so ?;1628679772
CSZUfvmtBxG;17896877771234856;❤️🙌;1628683100
CSZUfvmtBxG;18137171326180245;Queen go wild;1628683393
CSZUfvmtBxG;17880960410375203;I mean- she's cool but rarely speaks and the real problem that are the billionaires;1628683437
CSZUfvmtBxG;17888998610274508;How dare you!;1628690316
CSZUfvmtBxG;17883172244509051;Vouge had never been this beautiful, previously ❤️😍👏;1628691951
CSZUfvmtBxG;17895788312240262;Nothing but garbage from this little actress. Just another player on the world stage pushing agenda 2021/2030;1628693560
CSZUfvmtBxG;18126161185233544;Climate changes are occurring in every region and globally, according to the latest Intergovernmental Panel on Climate Change report. As the world’s latest and most rigorous scientific assessment of the physical basis of climate change, the report defines changes that are unprecedented in thousands if not hundreds of thousands of years. It emphasizes that there is still time to act, but it must happen immediately. Limiting climate change demands strong and sustained reductions in greenhouse gas emissions from human activities such as burning fossil fuels.;1628722850
CSZUfvmtBxG;18000288988330931;@just._freddie I think it’s because she is fiercely involved, engaged and educated! ❤️;1628751589
CSZUfvmtBxG;17968633225428817;"1 Natural as well as anthropogenic factors cause warming.
2. Warming is far slower than predicted.
3. Climate policy relies on inadequate models.
4. CO2 is not a pollutant. It is a plant food that is essential to all life on Earth. Photosynthesis is a blessing. More CO2 is beneficial for nature, greening the Earth: additional CO2 in the air has promoted growth in global plant biomass. It is also good for agriculture, increasing the yields of crops worldwide.
5. Global warming has not increased natural disasters.
6. Climate policy must respect scientific and economic realities. 
7. There is no climate emergency. Therefore, there is no cause for panic.";1628754686
CSZUfvmtBxG;17926707550660998;@feresmont 🔥;1629206319
CSZUfvmtBxG;17850477278624544;@hitomirose_ 😂😂;1629821260
CSZUfvmtBxG;17932507258652480;She’s a puppet.;1630240251
CSZUfvmtBxG;17911570813995678;She’s a puppet.;1630240261
CSZUfvmtBxG;17912468177154212;I make sure to run my car longer and throw trash and plastic bags on the ground and in the ocean in honor of her. Just hoping to shorten her life span.....;1636620235
CSZUfvmtBxG;17949290299585202;"@trees4.life 
🌎🌎🌎🌎🌎";1637109878
CSZUfvmtBxG;17923409668950846;I hope my children turn out to be like her;1637670315
CSZUfvmtBxG;18009038488338494;@grey_barrier_gardens_htx we shouldn’t be having children to combat climate change so it’s a nice thought but unfortunately you can’t! Sorry!;1637820413
CSZUfvmtBxG;17938402615795511;@grey_barrier_gardens_htx like a Horus worshipping occult member selling an uncontrollable ponzi scheme?;1640441108
CSZUfvmtBxG;17897221415514663;A Horus worshipping occult member selling misinformation on a uncontrollable ponzi scheme?;1640441172
CSZUfvmtBxG;17935630231857616;I've never wanted to go out of my way more to destroy the earth, and shorten the life span. All because of Gretta.....;1641231206
CSZUfvmtBxG;17914886576223795;@catantoine11 what garbage.;1646193766
CSZUfvmtBxG;18023672314330385;Greta why is it that you don’t go to China the biggest polluter and yell “How Dare You” to them. Ahh right, you would be washing dishes in China for years.;1646194022
CSZUfvmtBxG;17961845128541799;@4467paula Oh 'Paula' with no face,  8 followers and 0 post 😏 So much bravery in you, I can feel it!;1646194488
CSZUfvmtBxG;17907594272341085;The wonders of why that little troll is even a thing.. oh wait George Soros paid for it😂;1647715247
CSZUfvmtBxG;17991152269430758;Does Greta know that this magazine with her photo is printed on high gloss paper which is both hard to recycle ♻️ not to mention a complete waste of resources? 😢 and that guy that sponsors you…yeah his fleet of private helicopters and jets…also not great for the environment…. But let’s just pretend that doesn’t exist because you know, we have a narrative to push.;1650199972
CSZUfvmtBxG;17900482103062218;worm🌓;1628602375
CSZUfvmtBxG;17913300817898535;worm🌓;1628602387
CSZUfvmtBxG;17892793517333568;"Love to see @gretathunberg 😍 I was getting tired of these other ""environmentalists""";1628602491
CSZUfvmtBxG;17888228597366288;she’s an icon🌏👏;1628602514
CSZUfvmtBxG;17999357215356072;❤️🙌;1628602532
CSZUfvmtBxG;17952600976492181;❤️😍🙌;1628602551
CSZUfvmtBxG;18244108552008745;Looks magical.;1628602695
CSZUfvmtBxG;18022860178313381;people only listen to her because she’s a young white girl;1628602767
