shortcode;id;text;created_at
CQJNysGBD5E;17899405832035342;Viele vergessen eben, dass jedes Kleidungsstück handmade ist und das diese Hände meistens Menschen gehören, die unter schlimmsten Umständen arbeiten. Genau diesen Bezug müssen wir herstellen um das zu verdeutlichen.;1623768771
CQJNysGBD5E;17906869861922620;What a thought! Thank you for sharing this.;1623769000
CQJNysGBD5E;17959562284441058;@archhook 🙏♥️;1623769423
CQJNysGBD5E;17901075064943835;❤️;1623769615
CQJNysGBD5E;17926226797587399;"Can I share this in my ""story""?";1623769851
CQJNysGBD5E;18157973971155482;@nature_and_craft_by_nina go for it!;1623770887
CQJNysGBD5E;17956392181453653;🙌;1623773281
CQJNysGBD5E;17930783881585855;Thank you for sharing this! Can’t wait to pick up a copy.;1623775418
CQJNysGBD5E;17900066390059090;👏;1623792228
CQJNysGBD5E;17900912258017469;👏👏👏;1623792237
CQJNysGBD5E;17919555130703088;my mom made my clothes;1623796900
CQJNysGBD5E;17859188396555262;Yassssss;1623797225
CQJNysGBD5E;17915945437759433;A question that needs to be asked more;1623803757
CQJNysGBD5E;17908996003818233;⚡️;1623803945
CQJNysGBD5E;17894553113135506;👏👏;1623829065
CQJNysGBD5E;17922430855660147;🙌❤️🙌;1623831375
CQJNysGBD5E;17910952804784066;Yes! So much distance has been placed between consumer and maker in the traditional fashion system that people often think our clothes are simply made by machines. Sewing takes a great amount of skill - our garment workers need to be recognized!;1623853762
CQJNysGBD5E;18163914718180381;Love this! I wrote a blog post about how recently someone complimented a vintage dress I was wearing, one that was obviously made from a pattern in an American home rather than a factory, and I said ‘thanks, it’s hand made!’ And realized… everything I’ve ever worn was handmade😂 Such a simple but powerful realization- home seamstresses are just as valuable as the seamstresses we’ve never met who work in factories!;1623887447
CQJNysGBD5E;18117517579217376;💙💙;1623905105
CQJNysGBD5E;17891018267122766;👏 yes! And does anyone have suggestions for contemporary fiction about the textile industry?;1624285728
CP-rhRQBjde;17910193807870650;❤️;1623413947
CP-rhRQBjde;17916457435694721;You can’t buy a t-shirt at $2.50 without wondering who made it!;1623415082
CP-rhRQBjde;17897733962078293;Well said! Thank you for sharing my work! #endchildlabor;1623415952
CP-rhRQBjde;17935016572553963;Ask away? The businesses who have nothing to hide are happy to answer!;1623415963
CP-rhRQBjde;17904389266888488;Nice design @patterndraft;1623416374
CP-rhRQBjde;17889220415210913;Unless it is a family tradition to allow the child to work, the forced labour of children is harmful.;1623421396
CP-rhRQBjde;17911532011748984;@jaypore_weaves 👌;1623424854
CP-rhRQBjde;17850870245571739;@fashrev.france ❤️;1623424858
CP-rhRQBjde;17887018787170846;@organic4nature #WhoMadeMyClothes? 👏;1623424872
CP-rhRQBjde;17906397199914791;@brooke_clark_ thank you for making it ❤️;1623424881
CP-rhRQBjde;17959248295441534;This doesn’t necessarily fix the whole “why are kids working in the clothing industry” part. I’m not saying it’s right to use child labor, but less work = no food on the table for some families around the globe. It’s a bigger issue than “brands need to be transparent”.;1623429755
CP-rhRQBjde;18232861876054850;🙌🙌🙌🙌;1623430132
CP-rhRQBjde;17878057985469103;Child labour is not the problem. Many families encourage their children in taking early jobs to help, experience responsability. For them is custom and honor for their families. Is when they are enslaved when their communities suffer the most. Not patronizing, other cultures are for us still a shock. We are what anthropologist call ethnocentric and see the social environment through prejudices and pre conceptions of our own. What is tragic is not to see a child supporting their younger brothers and sisters but how occidental companies see an opportunity and take advantage of them. Who ever they are. We empathize, we are all human beings, same root.;1623430868
CP-rhRQBjde;17897561462081032;Thank you for sharing!! 🙌❤️;1623437207
CP-rhRQBjde;17969518975406069;I’ve spent the last 27 years making patterns for ladies wear. I’ve never really questioned where my patterns get sent and who actually makes the garments up for production. My work has ended at the perfect fit sample stage. I am now horrified to think that child labour could have been involved in producing the garments I so lovingly made the patterns for. I’m sorry I never followed the missing section of the life of a garment from me to the customer 😢;1623438508
CP-rhRQBjde;17920665481666392;💔;1623443079
CP-rhRQBjde;17890780508184560;Genius visual of getting the point across;1623458555
CP-rhRQBjde;17911464490757198;❤️❤️;1623472744
CP-rhRQBjde;17911200265846300;❤️❤️;1623472845
CP-rhRQBjde;17900673086010239;MESSAGE🙌🙌🙌;1623508281
CP-rhRQBjde;18013922197313650;Thank you for highlighting this. It still shocks me to find child labour still exists, but I also think the ILO doesn't go far enough, permitting children as young as 14 to work in factories. It's a complex issue but policy still plays a role and many brands I've spoken to whose Codes of Conduct approve of workers aged 14 or 15 fall back on ILO guidelines to defend themselves. There's more work to be done...;1623509067
CP-rhRQBjde;17876403824436866;@leartisanescarfer At first I was going to disagree with you but you're right - the protections aren't in place to stop children from working. Nor the fair wages that enable only adults to work. Companies and countries policy makers are responsible.;1623509181
CP-rhRQBjde;17899838591054317;"Thank you for highlighting this topic- an area for me to develop an understanding to both sides!

Looking forward for the education to come on this topic.";1623605928
CP-rhRQBjde;18179913676114910;@jaypore_weaves ask how?;1623633325
CP-rhRQBjde;17892682181164602;Thank you for sharing this and bringing awareness! Always ask questions and ensure your clothing is coming from the right sources!;1623713505
CP-rhRQBjde;17989128139343058;@besmacc yes, my friend. That is what I call making profit from the advantage of a cultural factor. economist, big investors and business companies have being taking this terrorist formula everywhere their nose gave them a clue they could. We know them, we have social science, anthropology, ethnographic work and grounded theorist. They are  people of the forests. Believers, human kindness. Their home the very same environment we burn and disrespect. When we reach their little people, we use all we get to know against them and they just believe we are their friends and allies. Is heartbreaking. Just do what you can and read about them. These are our cultures of resilience, forefathers, great spirits. In extinction. Urban legend. Get others to do what they can. This are  politics. The Call. Radical feminism. Epic battle against evil. Be a warrior, because is your soul too and we have to be strong. Take action. Blacklivesmatter.;1623721771
CP-rhRQBjde;17890642376195080;❤️;1623752494
CP-rhRQBjde;17890474388305448;Thank you for sharing these insights!🙌;1623773164
CP-rhRQBjde;17907018538900598;Hi! I make Handmade sustainable swimwear!! I’m the only person who makes them and am 20 so… not a child 👍🏻 💗;1623857198
CP-rhRQBjde;17874139094391259;very rightly said and also this is one of the major issues that needs to be taken care of in the fashion industry @fash_rev;1624449355
CP5kWTwgwYb;17905062190940147;❤️❤️❤️❤️❤️;1623241879
CP5kWTwgwYb;17971183546399891;🙌;1623242190
CP5kWTwgwYb;17981166640361116;❤️🏳️‍🌈❤️;1623242306
CP5kWTwgwYb;17868582698467016;🌈❤️🧡💛💚💙💜;1623242742
CP5kWTwgwYb;18170440789131755;❤️🧡💛💚💙💜🖤;1623243128
CP5kWTwgwYb;17910755701862957;❤️❤️❤️;1623244491
CP5kWTwgwYb;18009241435318240;Yesss 🙌🌈👏;1623244582
CP5kWTwgwYb;18228230704026600;This is fantastic!! Thank you so much for this great new campaign ❤️🧡💛💚💙💜;1623244866
CP5kWTwgwYb;17906569303910543;Yesss 🙌🏽;1623247013
CP5kWTwgwYb;18116082937228415;❤️;1623247740
CP5kWTwgwYb;17920663816678737;❤🧡💛💚💙💜;1623247753
CP5kWTwgwYb;17872390655403572;@palladium @abercrombie @casiovintage_eu @hollisterco @hummel_fr @underarmour @abus_france @merrell | Who made your Pride collections ?;1623249403
CP5kWTwgwYb;18065459740303977;🙌🙌;1623251342
CP5kWTwgwYb;17867311652518384;#whomademypridemerch is such a great idea, because we can get carried away by the good intentions of pride and forget its origins and the work behind it!;1623256756
CP5kWTwgwYb;17909050663894621;🧡❤️💛💚💙🤍♥️🖤🤎💜;1623275106
CP5kWTwgwYb;17874892715445048;❤️;1623289971
CP5kWTwgwYb;18157305448081220;@talia_tells Couldn't agree more!;1623335433
CP5kWTwgwYb;17992905829356568;🏳️‍🌈💝;1623417481
CP2ozcPhEi0;18087860854270624;New Fashion has such an impact - no getting away from these facts - thanks for the reminder 🌊;1623143697
CP2ozcPhEi0;17999504065317106;@incredibusy 👏💙;1623144527
CP2ozcPhEi0;17910479017850541;🙌;1623150155
CP2ozcPhEi0;17888902547287804;@lindaduffybarry beautiful design & layout 👌;1623157494
CP2ozcPhEi0;17935628926536796;We love to see this! Thank you for sharing🙏🏼✨🪐;1623159340
CP2ozcPhEi0;18120774058213482;🌊🤍;1623160351
CP2ozcPhEi0;18229645876037325;💧🌊💙;1623172699
CP2ozcPhEi0;17866686317519422;👏👏👏 thanks for sharing information and making people aware!;1623195951
CP2ozcPhEi0;17960220646432211;🌊💙🌍;1623532200
CPs_8GPBlqt;18162837082178824;👏👏👏;1622820306
CPs_8GPBlqt;18160275802148969;@sebastianbernalb;1622824696
CPs_8GPBlqt;17862997835502051;@macaaragones;1622824701
CPs_8GPBlqt;17939033992489386;Using up deadstock obviously isn't the whole answer, but it totally blows my mind that sooooo much fabric has just been gathering dust in warehouses for literally decades. Just found out I can buy unused nylon that's older than my dad!;1622831475
CPs_8GPBlqt;17915584672700633;Super interesting. Thanks for the information🙌;1622848257
CPs_8GPBlqt;17958582745435638;Thank you for this detailed post it’s so helpful to understand our impact on a deeper level @fash_rev;1622849324
CPs_8GPBlqt;17902866700964597;@paubitar nmms q duro. Es q si tenemos q ser super responsables en Muan. Los ponchos es de hilo reciclado! 🤓;1622852270
CPs_8GPBlqt;17899520177049903;Are there resources to help the consumer decide which clothing/ brand to buy from?;1622853471
CPs_8GPBlqt;17926799389572336;This reminds me of the water cycle we all learned as a kid and is just as relevant! 👏;1622864265
CPs_8GPBlqt;17930835361577302;Once again, Transparency is the key! 🙏;1622882209
CPs_8GPBlqt;17915501998744524;❤️;1622894883
CPs_8GPBlqt;17883043292240878;Indispensable;1622895032
CPs_8GPBlqt;17900220064942185;Such important information! Transparency is keyyy 🙌;1622921037
CPs_8GPBlqt;18166436599179303;🙌🙌🙌🙌🙌;1622943569
CPs_8GPBlqt;17899147121053173;@mamanzoc you can try @goodonyou_app 😊;1623053622
CPs_8GPBlqt;18186816724099689;👏👏👏;1623194407
CPs_8GPBlqt;18110125780244928;@dulcie.illustrator agreed.  We are using it in our soon to be launched dress line;1623194442
CPs_8GPBlqt;17887503536256047;🔥;1623868864
CPqR348B49s;17887460792147867;Agree. It’s needed in every phase from production to the end of life for a item.;1622728972
CPqR348B49s;17875855937492335;👍👍;1622729010
CPqR348B49s;17873650847505912;We can do it, but the efforts need to expand beyond the manufacture of new apparel. Make secondhand your first choice! Second choice is supporting businesses that have committed to a closed-loop production system, or at the very least have embraced recycled/upcycled materials in their goods. And as always - buy less, buy local, and buy smart. #makesecondhandyourfirstchoice;1622729476
CPqR348B49s;17914382914763372;👏👏;1622729499
CPqR348B49s;17909169817878466;I wonder if the answer is to stop using, then maybe I'll have my clothes made?  co-creation?;1622729692
CPqR348B49s;17967433531382429;Love this!;1622729917
CPqR348B49s;17885782064321475;We couldn’t agree more! 🙌;1622733381
CPqR348B49s;18133980040170193;🐾❤️ great but 2050 is 3 decades from now ☹️ Where can we see that action plan? Just curious to see their plan for the next year or the next 5 years..;1622735612
CPqR348B49s;17868702182460274;"We at CCF have already built a naturally circular collection of textiles and apparel; from soil to skin and back to soil without petrochemical ingredients. With only natural, organic and regenerative fibers, dyes and finishes from plants and minerals - all colors and printing by nature (not crude oil derivatives), so after a long life of wearing - our clothes and cloth are backyard compostable 🌱(we take them back to mechanically recycle with our cutting room scraps so nothing goes to waste) .. 💚circularity, with love";1622736003
CPqR348B49s;17940409000479082;👏👏👏;1622736942
CPqR348B49s;17917919776703567;Present;1622741162
CPqR348B49s;17967738082389369;Me;1622741501
CPqR348B49s;18230448412010220;This is absolutely critical for changing the industry!! So many of our clothes are filled with toxic chemicals, use huge amounts of water and have a massive environmental impact! Brands that are doing the right thing and making a difference have nothing to worry about and should be comfortable to share this 🙌👏;1622793809
CPqR348B49s;18175359145186110;🙌🙌;1622795357
CPqR348B49s;17866037609488159;and that's why we made a brand eco-friendly, no waste, no new resources. be the change you want to see in the world. ❤️;1622796177
CPqR348B49s;18231203872028225;🍀💚 #madebycura #hemprevolution  be part of our Earth Manifesto 🐝;1622803396
CPqR348B49s;17895926561098892;Cinnamon & recycle plastic bottles!;1622808701
CPqR348B49s;17884766000195311;This is what we are hoping with our label and technology 👏;1622811984
CPqR348B49s;17903099230960007;please talk about the chemicals used in manufacturing and formaldehyde;1622908062
CPqR348B49s;17929565020558430;the chemicals and formaldehyde;1622908122
CPqR348B49s;17908298593820362;We should definitely aim for a system that lowers its need to constant consumption 💪🏼🌎 #greenmode #climatechange;1623150021
CPn0rKFBL67;17880425306344731;@sakshiverma96 true;1622723808
CPn0rKFBL67;17929498942585174;@cilldemello shall we try?;1622724705
CPn0rKFBL67;17851140215563303;If you want to buy or sell used babies & kids stuff, head over to our club 💚♻️🐙 I’m trying to help parents reduce waste by extending the life of products 👌🏼;1622726124
CPn0rKFBL67;17914369660749451;super challenge.  aligns with  mindfullness of abundance!;1622727886
CPn0rKFBL67;18186303424102846;@hurr renting is still shopping, just a different business model;1622729046
CPn0rKFBL67;18004948099324435;@onesta_style agree completely, the small and sustainable/ conscious businesses have already had to weather over a year of uncertainty and massive financial risk to continue to operate and importantly support their workers throughout the pandemic (and this continues in ALOT of countries) which the FF giants demonstrated they don't care about at all. Small brands also don't have a pot of wealth created from huge profit margins to fall back on and by basically asking people to boycott 3 months of buying new and  not talking about how it is possible to buy new consciously (of which there are loads of mega businesses such as yours being conscious and innovative throughout the entire supply chain) which is 25% of a brands potential income .... which then impacts the workers again as some brands will not survive OR have to reduce their operational overhead to survive this latest hit. @remakeourworld I genuinely believe that the message could be even more powerful if you demonstrated that there are options to shop new consciously.  It would show those that prefer to buy new (being realistic, everyone is on different steps with a more conscious lifestyle and some aren't into secondhand) that there are amazing brands and businesses to support that collectively propel the industry forwards to a better place 👏, you'd also be supporting workers  and business stability so they could build even more positive impact in the future!;1622729187
CPn0rKFBL67;17905175650844979;Not going to the store and unsubscribing from brands and shopping groups helped immensely with spontaneous purchases.;1622729990
CPn0rKFBL67;17879385680359994;Thrift, repair, swap your clothes;1622730420
CPn0rKFBL67;17888163734231924;@chiaralcn ce la faremo? 😂;1622731251
CPn0rKFBL67;17908489993891809;Yes, when I first got into sustainable fashion, I stopped buying new for a full year! It was hard but so worth it afterwise!;1622731260
CPn0rKFBL67;17930394436577731;Anyone want to swap clothing on depop? Inbox me please I’m trying not to buy new clothes for the month!;1622731395
CPn0rKFBL67;18000736276330337;Is shopping thrift or vintage cheating??;1622732809
CPn0rKFBL67;17935529314506411;@juliapopihach I am proud that we are already on month 6 of this challenge!;1622735060
CPn0rKFBL67;17874962939439420;Went entire year without buying new clothes #nonewclothes;1622738910
CPn0rKFBL67;18152856181199899;@nowaycrochet1 did the same!;1622738947
